osm_id,highway,surface,surface_class,name,length_km,o_lon,o_lat,d_lon,d_lat,class_rank,gmaps_distance_km,gmaps_duration_hr,gmaps_speed_kmh,length_match,same_road
93459014,trunk,asphalt,paved,,48.06616945079287,33.1410952,-3.9637439,33.4260385,-3.6756979,0,47.951,0.6930555555555555,69.18781563126252,0.9976039394836576,True
429421207,trunk,paved,paved,,46.4376959521797,31.3497466,-2.6363988,31.5154225,-2.2811933,0,46.236,0.5675,81.47312775330396,0.9956566330855992,True
431773007,trunk,paved,paved,,46.11871160809183,34.3195332,-4.3892232,34.6200359,-4.5819789,0,46.052,0.6513888888888889,70.69816631130064,0.9985534806640148,True
1011512368,trunk,paved,paved,,44.319487354012566,32.8532678,-5.0128812,33.1367438,-4.791993,0,44.168,0.5841666666666666,75.60855920114123,0.9965819244973995,True
428697025,trunk,asphalt,paved,,43.77988436179374,35.7638781,-4.0959907,35.8960685,-3.7305675,0,43.931,0.5911111111111111,74.31936090225562,1.003451713964282,True
220105153,trunk,paved,paved,,42.45066819700382,31.727721,-1.5273861,31.6497296,-1.851789,0,42.294,0.5980555555555556,70.71918253599628,0.9963094056311019,True
652195139,trunk,asphalt,paved,,41.52739991289638,39.1721718,-7.1952054,39.1449807,-7.4720372,0,41.653,0.6475,64.32895752895753,1.0030245112231218,True
452642055,trunk,asphalt,paved,,41.52506049966421,38.8131684,-6.475506,38.4752851,-6.3564084,0,41.543,0.6827777777777778,60.84410089503661,1.0004320162359772,True
37422490,trunk,unpaved,unpaved,,44.71581663177718,33.4223145,-7.4467758,33.3523759,-7.7969863,0,44.707,0.9972222222222222,44.831532033426186,0.999802829682173,True
651885254,trunk,unpaved,unpaved,,43.05123850453895,33.5160313,-6.9591163,33.4919769,-7.31425,0,43.069,0.8733333333333333,49.315648854961836,1.0004125664226635,True
895875574,trunk,unpaved,unpaved,,40.360137969491674,30.6154357,-5.6391989,30.8598395,-5.8444007,0,40.047,0.8188888888888889,48.90407055630936,0.9922414048800234,True
366796336,trunk,unpaved,unpaved,,37.47419769170175,30.2127258,-4.7925732,30.3647663,-5.0647416,0,37.192,0.5763888888888888,64.5258795180723,0.9924695468059551,True
432964793,trunk,unpaved,unpaved,Geita Road,37.353351154527815,31.6795508,-2.9915879,31.9815477,-2.9667462,0,37.068,0.6138888888888889,60.382262443438904,0.992360761599479,True
452297464,trunk,unpaved,unpaved,,33.14485157744427,30.9632072,-5.9459953,30.9881816,-6.2016294,0,32.941,0.5777777777777777,57.01326923076924,0.993849675960444,True
344482680,trunk,unpaved,unpaved,,31.70939207956469,32.6889042,-5.5233607,32.7235708,-5.2553987,0,31.654,0.3738888888888889,84.66151560178307,0.9982531333484508,True
448522049,trunk,unpaved,unpaved,,30.723559337121205,32.7300304,-5.7965847,32.8501396,-6.0334603,0,30.672,0.5444444444444444,56.336326530612254,0.9983218306005676,True
