osm_id,highway,surface,surface_class,name,length_km,o_lon,o_lat,d_lon,d_lat,class_rank,gmaps_distance_km,gmaps_duration_hr,gmaps_speed_kmh,length_match,country,same_road
1112389290,trunk,asphalt,paved,,49.108422663064395,37.4503373,-1.1675158,37.0709036,-1.0434593,0,50.608,1.0811111111111111,46.811099691675224,1.0305360517731201,Kenya,True
204125672,trunk,asphalt,paved,,42.703613626257535,37.599152,1.1297045,37.5574051,0.7707162,0,42.916,0.4533333333333333,94.66764705882353,1.0049734988612737,Kenya,True
234348220,trunk,asphalt,paved,,33.759801966502,37.7230731,1.4041286,37.5822652,1.1753983,0,33.878,0.3313888888888889,102.23034367141659,1.0035011471221094,Kenya,True
26834574,trunk,paved,paved,,32.67552784732427,39.0889813,-3.7420279,39.3657012,-3.790565,0,32.658,0.5297222222222222,61.651179863660204,0.9994635787551416,Kenya,True
594172221,trunk,asphalt,paved,,32.28890243283559,35.150451,-0.2539721,34.9358221,-0.1744962,0,32.261,0.5308333333333334,60.77425431711146,0.9991358506875968,Kenya,True
210271873,trunk,asphalt,paved,,31.35095666164442,37.8612463,1.8355847,37.7903958,1.5734876,0,31.502,0.35694444444444445,88.25463035019455,1.0048178223071695,Kenya,True
502105456,trunk,asphalt,paved,,29.519368381823757,37.3027347,-1.9458555,37.1974938,-1.7204693,0,29.606,0.5711111111111111,51.83929961089494,1.0029347382049538,Kenya,True
899398416,trunk,asphalt,paved,,29.30703887546767,36.2214118,-1.1044748,35.9902648,-1.1241202,0,29.294,0.4713888888888889,62.14401885680613,0.9995550940672282,Kenya,True
46025014,trunk,unpaved,unpaved,,48.67343329812018,38.0414055,-2.9059194,37.6605159,-2.9077448,0,48.694,1.3205555555555555,36.87387463188894,1.00042254471251,Kenya,True
230047942,trunk,unpaved,unpaved,,48.07330417875066,36.7945755,1.7738396,36.6803683,1.4198765,0,48.254,1.1494444444444445,41.98028032866119,1.003758756015136,Kenya,True
34358706,trunk,unpaved,unpaved,,43.34578266856438,36.7643094,0.9499627,36.614335,0.6499644,0,43.2,0.6441666666666667,67.0633893919793,0.9966367508073605,Kenya,True
33409319,trunk,unpaved,unpaved,,43.3456059934123,40.2863718,-0.0032589,39.9501261,-0.1315741,0,43.367,0.9358333333333333,46.34051647373108,1.0004935680583391,Kenya,True
96933278,trunk,unpaved,unpaved,,39.60416177398048,39.2011095,-3.0699832,38.9007948,-3.0453637,0,39.671,0.9819444444444444,40.400452616690245,1.0016876566256083,Kenya,True
48057146,trunk,ground,unpaved,,38.75648535519156,35.3391931,-1.1197161,35.0363405,-1.2230209,0,38.694,1.0186111111111111,37.98701936187619,0.9983877445382652,Kenya,True
